"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"CHEVROLET","1982","CAMIONETA","44","12/2023","CON HERIDOS","CUNDINAMARCA","FUNZA","STRIA TTOyTTE MCPAL FUNZA"
"CHEVROLET","2007","CAMIONETA","19","12/2023","CON HERIDOS","CUNDINAMARCA","FUNZA","STRIA TTOyTTE MCPAL FUNZA"
"NISSAN","2003","CAMPERO","22","12/2023","CON HERIDOS","CUNDINAMARCA","FUNZA","STRIA TTOyTTE MCPAL FUNZA"
"BAJAJ","2012","MOTOCICLETA","14","12/2023","CON HERIDOS","BOYACA","VILLA DE LEYVA","ITBOY - DIST TTO No. 10/VILLA DE LEYVA"
"YAMAHA","2011","MOTOCICLETA","15","12/2023","CON HERIDOS","BOYACA","VILLA DE LEYVA","ITBOY - DIST TTO No. 10/VILLA DE LEYVA"
"RENAULT","2016","AUTOMOVIL","11","12/2023","CON MUERTOS","BOYACA","VILLA DE LEYVA","ITBOY - DIST TTO No. 10/VILLA DE LEYVA"
"BAJAJ","2015","MOTOCICLETA","12","12/2023","CON MUERTOS","BOYACA","VILLA DE LEYVA","ITBOY - DIST TTO No. 10/VILLA DE LEYVA"
"RENAULT","2012","AUTOMOVIL","15","12/2023","CON HERIDOS","ANTIOQUIA","SAN JERONIMO","TRÁNSITO DPTAL DE ANTIOQUIA/SAN JERONIMO"
"YAMAHA","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","SAN JERONIMO","TRÁNSITO DPTAL DE ANTIOQUIA/SAN JERONIMO"
"HINO","2019","BUS","7","12/2023","CON HERIDOS","ANTIOQUIA","AMALFI","STRIA TTOyTTE MCPAL AMALFI"
"HONDA","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","AMALFI","STRIA TTOyTTE MCPAL AMALFI"
"HONDA","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","VALLE DEL CAUCA","BUENAVENTURA","STRIA TTOyTTE MCPAL BUENAVENTURA"
"HONDA","2016","MOTOCICLETA","10","12/2023","CON HERIDOS","VALLE DEL CAUCA","BUENAVENTURA","STRIA TTOyTTE MCPAL BUENAVENTURA"
"CHEVROLET","2003","CAMION","23","12/2023","CON HERIDOS","VALLE DEL CAUCA","BUENAVENTURA","STRIA TTOyTTE MCPAL BUENAVENTURA"
"YAMAHA","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"BAJAJ","2015","MOTOCICLETA","12","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"BAJAJ","2013","MOTOCICLETA","13","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"BAJAJ","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"BAJAJ","2015","MOTOCICLETA","11","12/2023","CON HERIDOS","CORDOBA","LORICA","INSP TTOyTTE LORICA"
"TOYOTA","2022","CAMPERO","4","12/2023","CON HERIDOS","CORDOBA","LORICA","INSP TTOyTTE LORICA"
"BAJAJ","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","BOYACA","PUERTO BOYACA","INSP TTOyTTE MCPAL PUERTO BOYACA"
"BAJAJ","2009","MOTOCICLETA","17","12/2023","CON MUERTOS","BOYACA","PUERTO BOYACA","INSP TTOyTTE MCPAL PUERTO BOYACA"
"AKT","2013","MOTOCICLETA","13","12/2023","CON HERIDOS","ANTIOQUIA","ANDES","INSP TTOyTTE ANDES"
"TOYOTA","1997","CAMIONETA","20","12/2023","CON HERIDOS","ANTIOQUIA","ANDES","INSP TTOyTTE ANDES"
"YAMAHA","2015","MOTOCICLETA","11","12/2023","CON HERIDOS","ANTIOQUIA","ANDES","INSP TTOyTTE ANDES"
"YAMAHA","2021","MOTOCICLETA","6","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"YAMAHA","2022","MOTOCICLETA","5","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"TOYOTA","2022","CAMIONETA","4","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"YAMAHA","2020","MOTOCICLETA","6","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"BAJAJ","2009","MOTOCICLETA","18","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"AKT","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"YAMAHA","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"BAJAJ","2016","MOTOCICLETA","10","12/2023","CON HERIDOS","SANTANDER","BARRANCABERMEJA","INSP TTOyTTE BARRANCABERMEJA"
"YAMAHA","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"YAMAHA","1995","MOTOCICLETA","30","12/2023","CON HERIDOS","QUINDIO","CALARCA","INSP TTOyTTE CALARCA"
"CHEVROLET","2017","AUTOMOVIL","9","12/2023","CON MUERTOS","SANTANDER","PIEDECUESTA","STRIA TTOyMOV PIEDECUESTA/SANTANDER"
"CHEVROLET","2019","AUTOMOVIL","6","12/2023","CON HERIDOS","ANTIOQUIA","AMALFI","STRIA TTOyTTE MCPAL AMALFI"
"HONDA","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","AMALFI","STRIA TTOyTTE MCPAL AMALFI"
"HONDA","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","AMALFI","STRIA TTOyTTE MCPAL AMALFI"
"VICTORY","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2021","MOTOCICLETA","6","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2023","AUTOMOVIL","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"FORD","2015","AUTOMOVIL","11","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2016","AUTOMOVIL","10","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"MODASA","2011","BUS","14","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2009","AUTOMOVIL","17","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2007","AUTOMOVIL","19","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2017","AUTOMOVIL","9","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2019","AUTOMOVIL","7","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"COMBAT","2022","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2006","AUTOMOVIL","20","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
