"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"HONDA","2014","MOTOCICLETA","12","12/2023","CON HERIDOS","CUNDINAMARCA","RICAURTE","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VOLKSWAGEN","2022","CAMIONETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2024","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KAWASAKI","1991","MOTOCICLETA","33","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2022","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HERO","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2019","MOTOCICLETA","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KYMCO","2017","MOTOCICLETA","9","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KYMCO","2014","MOTOCICLETA","12","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VOLKSWAGEN","2012","CAMIONETA","14","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VOLKSWAGEN","2012","CAMIONETA","14","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"SUZUKI","2024","MOTOCICLETA","2","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HERO","2019","MOTOCICLETA","7","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"SUZUKI","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VOLKSWAGEN","2022","CAMIONETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"TVS","2024","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
