cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
8,Atlántico,8638,Sabanalarga,2019,8.557306148,5.598702502,212.2944961,13.71115174,5.979073244,,30.89280198,11.73926475,54.00061786,99.9375
18,Caquetá,18001,Florencia,2012.0,6.87183074,5.294574983,222.9315001,9.243409791,5.527871984,10.1935038,120.9398756,5.528680028,44.35609334,98.27555868
8,Atlántico,8001,Barranquilla,2012,,5.838095808,126.196301,13.43133782,6.784599584,15.17010263,71.81113671,9.275605158,75.59019778,99.96331621
5,Antioquia,5001,Medellín,2014,11.76841415,7.309474587,87.93865709,109.0945846,6.902970477,10.8914885,25.21177894,6.933239209,,99.81153995
8,Atlántico,"87,58",Soledad,2009,6.75012273,5.243137255,36.6422115,13.53965184,1.45820205,7.843137255,49.01960784,5.147058824,,99.67669734
18,Caquetá,18001,Florencia,2018.0,6.055271959,5.490147783,164.0863242,62.51030843,5.614541608,7.21323012,52.77973258,5.629838142,,99.74937343
76,Valle del Cauca,76109,Buenaventura,2008,6.897217929,5.320632501,75.90284436,7.75047259,3.111569538,10.09716136,133.358735,6.66793675,26.90686087,-1.7
44,LA GUAJIRA,44650,San Juan Del Cesar,2019,9.149987003,4.632960749,,14.34793748,9.465352264,17.41616844,155.9656875,11.43748375,59.44892124,99.89423585
15,Boyacá,15001,Tunja,2014.0,15.24614254,6.729426892,118.9657217,15.90744758,9.498874849,12.30712711,,7.898603968,42.46877296,99.7731569
50,Meta,50001,Villavicencio,2007,7.007381108,5.043898399,116.7260815,7.127192982,6.151741287,19.87852015,128.8422603,12.33204491,31.54986647,98.20106812
20,  Cesar  ,"20,001",Valledupar,2005,8.823529412,4.812435428,114.0096618,14.80521884,4.675928276,22.91725369,65.74621959,16.24870856,50.42356565,96.90891473
8,Atlántico,8638,Sabanalarga,2018,,5.780916293,176.0743322,17.2647258,5.447063816,11.71202205,68.89424733,8.26730968,54.83982087,100.0
66,Risaralda,66001,Pereira,2005.0,,6.232184161,99.61209469,16.78579164,8.695612955,17.84337482,88.11543121,12.0057275,28.69268078,99.58394243
20,Cesar,20001,Valledupar,2017.0,9.83065442,6.04096714,126.3061251,13.72771016,5.931313405,17.72133735,107.6194576,,67.91505237,99.8387215
17,Caldas,17001,Manizales,2009.0,9.089266353,6.636232407,69.82718356,24.46752332,7.638659112,14.79610249,,11.36773728,,99.59491806
8,Atlántico,8758,Soledad,2007,6.114050558,4.287009947,33.06833559,12.99451343,1.409592563,8.484493856,,4.973668812,45.67901235,99.52718676
41,Huila,41001,Neiva,2012,,6.257575758,146.4878437,135.0690197,7.940624162,20.50505051,40.4040404,14.54545455,47.46464646,99.52708954
11,,11001,"Bogotá, D.C.",2010.0,13.62046115,5.919924945,66.78264774,71.52790513,4.461701881,13.38150456,48.55527483,8.377842335,38.25792526,99.77424553
52,Nariño,52001,Pasto,2014,13.16198446,6.415062762,92.27063259,155.3064728,7.735577211,16.8559474,203.2277346,,60.6096832,99.67028941
19,Cauca,19001,Popayán,2009,10.50204243,5.702485861,151.8118671,15.53800337,6.444275967,16.04629751,65.7635144,12.10048665,39.89200579,99.5560339
54,norte de santander,54001,Cúcuta,2012,7.560829975,5.494966691,,16.02330663,7.184165358,,66.6173205,8.808290155,63.20503331,99.02093689
76,Valle del Cauca,76001,Cali,2006.0,12.22753993,6.550292018,81.58403288,17.82072201,7.108622474,17.93640493,93.44581441,11.36924075,36.47728454,99.43948571
70,Sucre,70001,Sincelejo,2007.0,8.66529304,5.667390311,144.5189434,29.49656243,5.732588029,13.25411335,102.833638,8.797989031,59.19395466,99.6961907
70,Sucre,70001,Sincelejo,2018,10.59030689,6.017765859,197.0875267,64.73861588,9.095062232,11.22936395,,8.212519903,81.58049108,99.87196996
76,Valle del Cauca,76109,Buenaventura,2009,7.56501182,4.681915934,72.85601888,13.11981478,2.874976463,11.9257087,,5.865102639,28.2792527,96.28
52,Nariño,"52,001",Pasto,2013.0,,6.432324243,101.4869888,146.3961559,7.36785656,18.76407305,125.0938204,11.88391293,62.05904428,99.59261617
66,risaralda,66001,Pereira,2015.0,,6.815635682,97.22671846,85.87843967,10.09556826,10.69577682,44.10629617,8.049399052,32.62763259,99.63972078
52, NARIÑO ,52356,Ipiales,2005,7.952035342,5.568460812,113.9289895,10.58860168,4.031999414,15.42335537,31.47623544,12.27573182,36.31778058,98.40713603
8,Atlántico,8638,Sabanalarga,2016.0,9.067903838,6.158161113,142.9249763,13.31668747,5.068214336,11.80936314,,8.857022353,54.91353859,99.95719178
23,Córdoba,23001,Montería,2006,10.01728687,4.964240334,122.4168677,140.6956793,6.010186669,28.77110183,81.68451625,19.33200218,56.40349281,99.49767442
17,Caldas,17001,Manizales,2019,12.16013702,7.169985014,39.68803069,16.01011165,8.190954318,18.19738814,,11.1325198,31.74909013,99.78074984
44,La Guajira,44650,San Juan Del Cesar,2007,7.61654629,4.46722365,172.6495726,10.80737444,3.655505191,16.06683805,,,54.52781371,98.75573019
8,Atlántico,8638,Sabanalarga,2009.0,10.27739882,6.078181818,129.8521257,11.23595506,3.906805721,15.45454545,45.45454545,9.090909091,53.91747798,99.76722533
8,Atlántico,8758,Soledad,2014.0,8.685195083,5.030197755,35.74306013,30.06739243,1.64938265,10.95670764,26.72367718,9.086050241,81.13308391,99.8919503
8,  Atlántico  ,8001,Barranquilla,2020,9.213527074,5.555971851,101.0853905,18.82811751,11.60290367,20.16680785,91.22304033,,65.12021894,99.92687872
